Index,City,State,Date,avgHigh,avgLow,avgUV,totalSun,avgSun,totalSnow,avgSnow,totalRainfall,avgRainfall,avgHumidity,pressure,windSpeed,avgTemp
0,New York,New York,2017-6,76.57,66.73,0,0,0,0,0,4.48,0.15,62.93,1013.4,13.57,71.65
0,New York,New York,2017-7,88.48,77,0,0,0,0,0,3.94,0.13,64.42,1014.68,10.26,82.74
0,New York,New York,2017-8,86.94,74.32,0,0,0,0,0,2.79,0.09,62.74,1016.71,9.55,80.63
0,New York,New York,2017-9,76.4,63.63,0,0,0,0,0,1.39,0.05,74.2,1016.23,10.27,70.01
0,New York,New York,2017-10,68.32,58.03,0,0,0,0,0,5.47,0.18,73.94,1019.06,11.71,63.17
0,New York,New York,2017-11,48.73,39,0,0,0,0,0,1.65,0.06,79.27,1020,11.9,43.86
0,New York,New York,2017-12,35.32,28.84,0,0,0,12.6,0.41,1.74,0.06,75.35,1018.42,12.26,32.08
0,New York,New York,2018-1,36.35,26,0,0,0,6.4,0.21,3.15,0.1,62.65,1022.29,13.1,31.17
0,New York,New York,2018-2,45.64,36.46,0,0,0,0.4,0.01,11.06,0.4,69.11,1023.21,11.54,41.05
0,New York,New York,2018-3,43.48,34.16,0,0,0,62.6,2.02,6.02,0.19,61.84,1014.68,14.74,38.82
0,New York,New York,2018-4,53.43,43.17,0,0,0,13.9,0.46,6.58,0.22,59.43,1015.5,13.27,48.3
0,New York,New York,2018-5,70.32,59.26,0,0,0,0,0,5.66,0.18,67,1017.32,10.35,64.79
0,New York,New York,2018-6,77.07,65.5,0,0,0,0,0,3.99,0.13,64.13,1013.83,9.87,71.28
1,Los Angeles,California,2017-6,76.67,65.67,0,0,0,0,0,0.02,0,67.73,1011.07,7,71.17
1,Los Angeles,California,2017-7,92.71,81.97,0,0,0,0,0,0.04,0,52.87,1013,6.45,87.34
1,Los Angeles,California,2017-8,87.32,76.13,0,0,0,0,0,0.28,0.01,62.74,1012.03,5.68,81.72
1,Los Angeles,California,2017-9,80.13,68.53,0,0,0,0,0,0.04,0,64.87,1011.33,6.23,74.33
1,Los Angeles,California,2017-10,81.87,66.16,0,0,0,0,0,0,0,49.45,1012.58,5.81,74.01
1,Los Angeles,California,2017-11,72,60.73,0,0,0,0,0,0,0,58.77,1016.5,4.43,66.36
1,Los Angeles,California,2017-12,70.61,54.61,0,0,0,0,0,0,0,34.16,1019.1,6.29,62.61
1,Los Angeles,California,2018-1,68.65,53.1,0,0,0,0,0,3.26,0.11,58.81,1019.42,6.16,60.87
1,Los Angeles,California,2018-2,67.04,51.32,0,0,0,0,0,0.33,0.01,51.64,1017.93,6.29,59.18
1,Los Angeles,California,2018-3,64.9,52.61,0,0,0,0,0,4.41,0.14,63.68,1017.68,6.39,58.75
1,Los Angeles,California,2018-4,70.4,56.73,0,0,0,0,0,0.13,0,62.1,1015.63,7.07,63.56
1,Los Angeles,California,2018-5,69.32,59.9,0,0,0,0,0,0.03,0,69.29,1014.1,6.97,64.61
